Datum;Tijd;Maanfase;Hoogwater/laagwater;Meting
14/09/2020; 23:18; ; LW; 17.0 cm;
14/09/2020; 15:10; ; HW; 81.0 cm;
14/09/2020; 10:23; ; LW; 20.0 cm;
14/09/2020; 02:40; ; HW; 84.0 cm;
13/09/2020; 21:45; ; LW; 19.0 cm;
13/09/2020; 13:54; ; HW; 75.0 cm;
13/09/2020; 09:18; ; LW; 19.0 cm;
13/09/2020; 01:14; ; HW; 79.0 cm;
12/09/2020; 20:14; ; LW; 18.0 cm;
12/09/2020; 12:24; ; HW; 76.0 cm;
12/09/2020; 08:19; ; LW; 18.0 cm;
12/09/2020; 00:04; ; HW; 80.0 cm;
11/09/2020; 19:20; ; LW; 18.0 cm;
11/09/2020; 11:10; ; HW; 82.0 cm;
11/09/2020; 07:16; ; LW; 17.0 cm;
10/09/2020; 22:20; Laatste Kwartier 12:26; HW; 86.0 cm;
10/09/2020; 18:22; ; LW; 19.0 cm;
10/09/2020; 09:54; ; HW; 88.0 cm;
10/09/2020; 06:25; ; LW; 16.0 cm;
09/09/2020; 21:35; ; HW; 92.0 cm;
09/09/2020; 17:33; ; LW; 21.0 cm;
09/09/2020; 09:14; ; HW; 91.0 cm;
09/09/2020; 06:09; ; LW; 16.0 cm;
08/09/2020; 20:57; ; HW; 95.0 cm;
08/09/2020; 17:36; ; LW; 23.0 cm;
08/09/2020; 08:48; ; HW; 93.0 cm;
08/09/2020; 05:31; ; LW; 14.0 cm;
07/09/2020; 20:24; ; HW; 96.0 cm;
07/09/2020; 17:21; ; LW; 23.0 cm;
07/09/2020; 08:16; ; HW; 96.0 cm;
07/09/2020; 05:02; ; LW; 13.0 cm;
06/09/2020; 20:00; ; HW; 98.0 cm;
06/09/2020; 17:00; ; LW; 24.0 cm;
06/09/2020; 07:49; ; HW; 100.0 cm;
06/09/2020; 04:40; ; LW; 13.0 cm;
05/09/2020; 19:29; ; HW; 98.0 cm;
05/09/2020; 16:29; ; LW; 25.0 cm;
05/09/2020; 07:05; ; HW; 101.0 cm;
05/09/2020; 04:18; ; LW; 13.0 cm;
04/09/2020; 18:54; ; HW; 96.0 cm;
04/09/2020; 16:10; ; LW; 25.0 cm;
04/09/2020; 06:34; ; HW; 101.0 cm;
04/09/2020; 03:55; ; LW; 12.0 cm;
03/09/2020; 18:30; ; HW; 94.0 cm;
03/09/2020; 15:51; ; LW; 22.0 cm;
03/09/2020; 06:09; ; HW; 100.0 cm;
03/09/2020; 03:16; ; LW; 10.0 cm;
02/09/2020; 18:22; Volle Maan 08:22; HW; 94.0 cm;
02/09/2020; 15:15; ; LW; 17.0 cm;
02/09/2020; 06:04; ; HW; 100.0 cm;
02/09/2020; 02:36; ; LW; 8.0 cm;
